index,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA
0,7,2003,2003,856.0,856,1710,2,8,2.0,548.0,208500.0,0,0,0,0
1,6,1976,1976,1262.0,1262,1262,2,6,2.0,460.0,181500.0,1,0,0,1
2,7,2001,2002,920.0,920,1786,2,6,2.0,608.0,223500.0,0,0,0,0
3,7,1915,1970,756.0,961,1717,1,7,3.0,642.0,140000.0,1,0,0,0
4,8,2000,2000,1145.0,1145,2198,2,9,3.0,836.0,250000.0,0,0,0,0
5,5,1993,1995,796.0,796,1362,1,5,2.0,480.0,143000.0,1,0,0,1
6,8,2004,2005,1686.0,1694,1694,2,7,2.0,636.0,307000.0,0,1,0,0
7,7,1973,1973,1107.0,1107,2090,2,7,2.0,484.0,200000.0,1,0,0,1
8,7,1931,1950,952.0,1022,1774,2,8,2.0,468.0,129900.0,1,0,0,1
9,5,1939,1950,991.0,1077,1077,1,5,1.0,205.0,118000.0,1,0,0,1
10,5,1965,1965,1040.0,1040,1040,1,5,1.0,384.0,129500.0,1,0,0,1
11,9,2005,2006,1175.0,1182,2324,3,11,3.0,736.0,345000.0,0,1,1,0
12,5,1962,1962,912.0,912,912,1,4,1.0,352.0,144000.0,1,0,0,1
13,7,2006,2007,1494.0,1494,1494,2,7,3.0,840.0,279500.0,0,0,0,0
14,6,1960,1960,1253.0,1253,1253,1,5,1.0,352.0,157000.0,1,0,0,1
15,7,1929,2001,832.0,854,854,1,5,2.0,576.0,132000.0,1,0,0,1
16,6,1970,1970,1004.0,1004,1004,1,5,2.0,480.0,149000.0,1,0,0,1
17,4,1967,1967,0.0,1296,1296,2,6,2.0,516.0,90000.0,1,0,0,1
18,5,2004,2004,1114.0,1114,1114,1,6,2.0,576.0,159000.0,1,0,0,0
19,5,1958,1965,1029.0,1339,1339,1,6,1.0,294.0,139000.0,1,0,0,1
20,8,2005,2006,1158.0,1158,2376,3,9,3.0,853.0,325300.0,0,1,0,0
21,7,1930,1950,637.0,1108,1108,1,6,1.0,280.0,139400.0,1,0,0,0
22,8,2002,2002,1777.0,1795,1795,2,7,2.0,534.0,230000.0,0,0,0,0
23,5,1976,1976,1040.0,1060,1060,1,6,2.0,572.0,129900.0,1,0,0,1
24,5,1968,2001,1060.0,1060,1060,1,6,1.0,270.0,154000.0,1,0,0,0
25,8,2007,2007,1566.0,1600,1600,2,7,3.0,890.0,256300.0,0,0,0,0
26,5,1951,2000,900.0,900,900,1,5,2.0,576.0,134800.0,1,0,0,0
27,8,2007,2008,1704.0,1704,1704,2,7,3.0,772.0,306000.0,0,1,0,0
28,5,1957,1997,1484.0,1600,1600,1,6,1.0,319.0,207500.0,1,0,0,1
29,4,1927,1950,520.0,520,520,1,4,1.0,240.0,68500.0,1,0,0,0
30,4,1920,1950,649.0,649,1317,1,6,1.0,250.0,40000.0,1,0,0,1
31,5,1966,2006,1228.0,1228,1228,1,6,1.0,271.0,149350.0,1,0,0,0
32,8,2007,2007,1234.0,1234,1234,2,7,2.0,484.0,179900.0,0,1,0,0
33,5,1959,1959,1398.0,1700,1700,1,6,2.0,447.0,165500.0,1,0,0,0
34,9,2005,2005,1561.0,1561,1561,2,6,2.0,556.0,277500.0,0,1,1,0
35,8,2004,2005,1117.0,1132,2452,3,9,3.0,691.0,309000.0,0,1,0,0
36,5,1994,1995,1097.0,1097,1097,1,6,2.0,672.0,145000.0,1,0,0,1
37,5,1954,1990,1297.0,1297,1297,1,5,2.0,498.0,153000.0,1,0,0,1
38,5,1953,2007,1057.0,1057,1057,1,5,1.0,246.0,109000.0,1,0,0,0
39,4,1955,1955,0.0,1152,1152,2,6,0.0,0.0,82000.0,1,0,0,0
40,6,1965,1965,1088.0,1324,1324,2,6,2.0,440.0,160000.0,1,0,0,1
41,5,1959,1959,1350.0,1328,1328,1,5,1.0,308.0,170000.0,1,0,0,1
42,5,1983,1983,840.0,884,884,1,5,2.0,504.0,144000.0,1,0,0,0
43,5,1975,1980,938.0,938,938,1,5,1.0,308.0,130250.0,1,0,0,1
44,5,1959,1959,1150.0,1150,1150,1,6,1.0,300.0,141000.0,1,0,0,1
45,9,2005,2005,1752.0,1752,1752,2,6,2.0,576.0,319900.0,0,1,1,0
46,7,2003,2003,1434.0,1518,2149,1,6,2.0,670.0,239686.0,0,1,0,0
47,8,2006,2006,1656.0,1656,1656,2,7,3.0,826.0,249700.0,0,0,0,0
48,4,1920,2008,736.0,736,1452,2,8,0.0,0.0,113000.0,1,0,0,1
49,5,1966,1966,955.0,955,955,1,6,1.0,386.0,127000.0,1,0,0,1
50,6,1997,1997,794.0,794,1470,2,6,2.0,388.0,177000.0,1,0,0,1
51,6,1934,1950,816.0,816,1176,1,6,2.0,528.0,114500.0,1,0,0,1
52,5,1963,1963,816.0,816,816,1,5,2.0,516.0,110000.0,0,0,0,1
53,9,1981,1987,1842.0,1842,1842,0,5,3.0,894.0,385000.0,0,1,0,0
54,5,1955,1955,384.0,1360,1360,1,6,2.0,572.0,130000.0,1,0,0,1
55,6,1964,1964,1425.0,1425,1425,2,7,2.0,576.0,180500.0,1,0,0,1
56,8,1999,2000,970.0,983,1739,2,7,2.0,480.0,172500.0,0,0,0,0
57,7,2004,2004,860.0,860,1720,2,7,2.0,565.0,196500.0,0,0,0,0
58,10,2006,2006,1410.0,1426,2945,3,10,3.0,641.0,438780.0,0,1,0,0
59,5,1972,1972,780.0,780,780,1,4,1.0,352.0,124900.0,1,0,0,1
60,6,2004,2004,1158.0,1158,1158,1,5,2.0,576.0,158000.0,1,0,0,0
61,5,1920,1996,530.0,581,1111,1,6,1.0,288.0,101000.0,1,0,0,0
62,8,2006,2006,1370.0,1370,1370,2,6,2.0,484.0,202500.0,0,0,0,0
63,7,1921,1950,576.0,902,1710,2,9,2.0,480.0,140000.0,1,0,0,1
64,7,1997,1998,1057.0,1057,2034,2,8,2.0,645.0,219500.0,1,0,0,0
65,8,2004,2005,1143.0,1143,2473,2,9,3.0,852.0,317000.0,0,1,0,0
66,7,1970,1989,1947.0,2207,2207,2,7,2.0,576.0,180000.0,1,0,0,1
67,7,2003,2003,1453.0,1479,1479,2,7,2.0,558.0,226000.0,0,0,0,0
68,4,1945,1950,747.0,747,747,1,4,1.0,220.0,80000.0,1,0,0,1
69,7,1953,1953,1304.0,1304,2287,2,7,2.0,667.0,225000.0,0,0,0,1
70,7,1973,1973,2223.0,2223,2223,2,8,2.0,516.0,244000.0,1,0,0,1
71,4,1982,2006,845.0,845,845,1,4,2.0,360.0,129500.0,1,0,0,1
72,7,1998,1998,832.0,885,1718,2,7,2.0,427.0,185000.0,1,0,0,1
73,5,1954,2003,1086.0,1086,1086,1,6,2.0,490.0,144900.0,1,0,0,1
74,3,1915,1950,840.0,840,1605,2,8,1.0,379.0,107400.0,0,0,0,1
75,4,1973,1973,462.0,526,988,1,5,1.0,297.0,91000.0,1,0,0,1
76,4,1956,1956,952.0,952,952,1,4,1.0,283.0,135750.0,1,0,0,1
77,5,1948,2001,672.0,1072,1285,1,6,1.0,240.0,127000.0,1,0,0,1
78,4,1968,1968,1768.0,1768,1768,2,8,0.0,0.0,136500.0,1,0,0,1
79,5,1910,1981,440.0,682,1230,1,5,2.0,440.0,110000.0,1,0,0,1
80,6,1968,1968,896.0,1182,2142,2,8,1.0,509.0,193500.0,1,0,0,0
81,6,1998,1998,1237.0,1337,1337,2,5,2.0,405.0,153500.0,1,1,0,1
82,8,2007,2007,1563.0,1563,1563,2,6,3.0,758.0,245000.0,1,0,0,0
83,5,1960,1960,1065.0,1065,1065,1,6,2.0,461.0,126500.0,1,0,0,1
84,7,1995,1996,384.0,804,1474,2,7,2.0,400.0,168500.0,1,0,0,1
85,8,1991,1992,1288.0,1301,2417,2,9,2.0,462.0,260000.0,0,0,0,0
86,6,2005,2005,684.0,684,1560,2,6,2.0,400.0,174000.0,0,0,0,0
87,6,2009,2009,612.0,612,1224,2,4,2.0,528.0,164500.0,0,0,0,0
88,3,1915,1982,1013.0,1013,1526,1,6,0.0,0.0,85000.0,0,0,0,0
89,4,1994,1995,990.0,990,990,1,5,0.0,0.0,123600.0,1,0,0,1
90,4,1950,1950,0.0,1040,1040,1,4,2.0,420.0,109900.0,1,0,0,1
91,5,1961,1961,1235.0,1235,1235,1,6,2.0,480.0,98600.0,1,0,0,1
92,5,1921,2006,876.0,964,964,1,5,2.0,432.0,163500.0,1,0,0,1
93,6,1910,1998,1214.0,1260,2291,2,9,2.0,506.0,133900.0,1,0,0,1
94,6,1997,1997,824.0,905,1786,2,7,2.0,684.0,204750.0,1,0,0,0
95,6,1993,1993,680.0,680,1470,2,6,2.0,420.0,185000.0,0,0,0,1
96,7,1999,1999,1588.0,1588,1588,2,6,2.0,472.0,214000.0,0,0,0,0
97,4,1965,1965,960.0,960,960,1,6,1.0,432.0,94750.0,1,0,0,1
98,5,1920,1950,458.0,835,835,1,5,1.0,366.0,83000.0,1,0,0,1
99,4,1959,1959,950.0,1225,1225,1,6,0.0,0.0,128950.0,1,0,0,1
100,6,1977,2001,1610.0,1610,1610,2,6,2.0,480.0,205000.0,1,0,0,0
101,6,1985,1985,741.0,977,1732,2,7,2.0,476.0,178000.0,0,0,0,0
102,5,1979,1979,0.0,1535,1535,2,8,2.0,410.0,118964.0,1,0,0,1
103,7,2009,2009,1226.0,1226,1226,2,6,3.0,740.0,198900.0,1,0,0,0
104,7,1931,1950,1040.0,1226,1818,1,7,1.0,240.0,169500.0,1,0,0,1
105,8,2003,2004,1053.0,1053,1992,2,9,2.0,648.0,250000.0,0,1,0,0
106,4,1885,1995,641.0,1047,1047,1,6,1.0,273.0,100000.0,1,0,0,1
107,5,1948,1950,789.0,789,789,1,5,1.0,250.0,115000.0,1,0,0,1
108,5,1919,2005,793.0,997,1517,2,7,0.0,0.0,115000.0,1,0,0,0
109,6,1977,1977,1844.0,1844,1844,2,7,2.0,546.0,190000.0,1,0,0,1
110,6,1954,1972,994.0,1216,1855,2,7,1.0,325.0,136900.0,1,0,0,1
111,7,2000,2000,384.0,774,1430,2,7,2.0,400.0,180000.0,1,0,0,1
112,7,2007,2007,1264.0,1282,2696,2,10,3.0,792.0,383970.0,0,1,1,0
113,6,1953,1953,1809.0,2259,2259,2,7,2.0,450.0,217000.0,1,0,0,0
114,6,1945,2002,1028.0,1436,2320,2,9,1.0,180.0,259500.0,1,0,0,0
115,6,1999,1999,729.0,729,1458,2,5,2.0,440.0,176000.0,1,0,0,1
116,5,1962,1962,1092.0,1092,1092,1,6,1.0,288.0,139000.0,1,0,0,1
117,5,2006,2007,1125.0,1125,1125,1,5,2.0,430.0,155000.0,1,0,0,1
118,7,1990,1990,1673.0,1699,3222,3,11,3.0,594.0,320000.0,1,0,0,0
119,6,2005,2006,728.0,728,1456,2,8,2.0,390.0,163990.0,0,0,0,0
120,6,1969,1969,938.0,988,988,1,4,2.0,540.0,180000.0,1,0,0,1
121,4,1939,1950,732.0,772,1123,1,4,1.0,264.0,100000.0,1,0,0,1
122,6,1958,1958,1080.0,1080,1080,1,5,1.0,288.0,136000.0,1,0,0,1
123,6,1993,1993,1199.0,1199,1199,2,5,2.0,530.0,153900.0,0,0,0,0
124,6,1979,1998,1362.0,1586,1586,2,7,2.0,435.0,181000.0,1,0,0,1
125,6,1935,1982,520.0,520,754,1,5,0.0,0.0,84500.0,1,0,0,1
126,6,1976,1976,1078.0,958,958,2,5,2.0,440.0,128000.0,1,0,0,1
127,5,1930,1950,672.0,840,840,1,5,0.0,0.0,87000.0,1,0,0,1
128,6,1966,1966,660.0,660,1348,1,6,2.0,453.0,155000.0,1,0,0,1
129,5,1958,1991,1008.0,1053,1053,1,6,2.0,750.0,150000.0,1,0,1,0
130,7,1966,1966,924.0,1216,2157,2,8,2.0,487.0,226000.0,1,0,0,0
131,6,2000,2000,992.0,1022,2054,2,7,2.0,390.0,244000.0,0,0,0,0
132,5,1959,2002,1063.0,1327,1327,1,7,2.0,624.0,150750.0,1,0,0,0
133,8,2001,2002,1267.0,1296,1296,2,6,2.0,471.0,220000.0,0,1,0,0
134,5,1968,1993,1461.0,1721,1721,2,7,2.0,440.0,180000.0,1,0,0,1
135,7,1970,1970,1304.0,1682,1682,2,7,2.0,530.0,174000.0,1,0,0,1
136,5,1967,1967,1214.0,1214,1214,2,5,1.0,318.0,143000.0,1,0,0,1
137,7,1988,1989,1907.0,1959,1959,3,9,3.0,766.0,171000.0,1,0,0,1
138,8,1999,2000,1004.0,1004,1852,2,7,3.0,660.0,230000.0,0,0,0,0
139,6,1997,1997,928.0,928,1764,2,7,2.0,470.0,231500.0,1,0,0,0
140,4,1971,1971,864.0,864,864,1,5,0.0,0.0,115000.0,1,0,0,1
141,7,2005,2005,1734.0,1734,1734,2,7,2.0,660.0,260000.0,0,0,0,0
142,5,1952,1952,910.0,910,1385,2,6,2.0,720.0,166000.0,1,0,0,1
143,7,1999,1999,1490.0,1501,1501,2,6,2.0,577.0,204000.0,0,0,0,0
144,5,1963,1963,1728.0,1728,1728,2,10,2.0,504.0,125000.0,1,0,0,1
145,6,2004,2006,970.0,970,1709,2,7,2.0,380.0,130000.0,0,0,0,0
146,5,1931,1993,715.0,875,875,1,5,1.0,180.0,105000.0,1,0,0,1
147,7,2001,2001,884.0,884,2035,2,8,2.0,434.0,222500.0,0,0,0,0
148,7,2004,2005,1080.0,1080,1080,1,6,0.0,0.0,141000.0,1,0,0,0
149,5,1936,1950,896.0,896,1344,1,7,1.0,240.0,115000.0,1,0,0,1
150,5,1975,1975,969.0,969,969,1,5,2.0,440.0,122000.0,1,0,0,1
151,8,2007,2008,1710.0,1710,1710,2,6,3.0,866.0,372402.0,0,1,0,0
152,6,1971,1971,825.0,1097,1993,2,8,2.0,495.0,190000.0,1,0,0,1
153,6,1960,1975,1602.0,1252,1252,1,4,2.0,564.0,235000.0,1,0,0,1
154,6,1923,1950,1200.0,1200,1200,1,7,1.0,312.0,125000.0,1,0,0,1
155,6,1924,1950,572.0,572,1096,1,5,0.0,0.0,79000.0,1,0,0,1
156,5,1950,1950,0.0,1040,1040,1,5,2.0,625.0,109500.0,1,0,0,1
157,8,2009,2010,774.0,774,1968,2,8,3.0,680.0,269500.0,0,1,1,0
158,7,2004,2005,991.0,991,1947,2,8,2.0,678.0,254900.0,0,0,0,0
159,7,2005,2006,1392.0,1392,2462,2,9,2.0,576.0,320000.0,0,0,0,0
160,6,1984,1984,1232.0,1232,1232,2,6,2.0,516.0,162500.0,1,0,0,1
161,9,2003,2004,1572.0,1572,2668,2,10,3.0,726.0,412500.0,0,1,1,0
162,7,2005,2005,1541.0,1541,1541,2,7,2.0,532.0,220000.0,0,0,0,0
163,4,1956,1956,882.0,882,882,1,4,0.0,0.0,103200.0,1,0,0,1
164,6,1926,2004,1149.0,1149,1616,2,5,1.0,216.0,152000.0,1,0,0,0
165,5,1940,1999,644.0,808,1355,2,6,0.0,0.0,127500.0,1,0,0,1
166,5,1955,1993,1617.0,1867,1867,1,7,1.0,303.0,190000.0,0,0,0,1
167,8,2007,2007,1582.0,1610,2161,1,8,3.0,789.0,325624.0,0,1,1,0
168,7,2004,2004,840.0,840,1720,2,7,2.0,440.0,183500.0,0,0,0,0
169,8,1981,1981,1686.0,1707,1707,2,6,2.0,511.0,228000.0,0,0,0,1
170,5,1941,1950,720.0,854,1382,1,7,2.0,660.0,128500.0,1,0,0,1
171,6,1960,1960,1080.0,1656,1656,1,7,2.0,528.0,215000.0,1,0,0,1
172,7,1987,1987,1064.0,1064,1767,2,5,2.0,504.0,239000.0,0,0,0,0
173,6,1961,1961,1362.0,1362,1362,1,6,2.0,504.0,163000.0,1,0,0,1
174,6,1986,1986,1606.0,1651,1651,2,7,2.0,616.0,184000.0,1,0,0,1
175,6,1950,2001,1202.0,2158,2158,2,7,2.0,576.0,243000.0,1,0,0,0
176,6,1988,1989,1151.0,1164,2060,2,8,2.0,521.0,211000.0,0,0,0,1
177,5,1958,1958,1052.0,1252,1920,2,8,2.0,451.0,172500.0,0,0,0,0
178,9,2008,2009,2216.0,2234,2234,2,9,3.0,1166.0,501837.0,0,1,1,0
179,5,1923,2006,968.0,968,968,1,5,2.0,480.0,100000.0,0,0,0,1
180,6,2000,2000,756.0,769,1525,2,5,2.0,440.0,177000.0,0,0,0,0
181,7,1920,1950,793.0,901,1802,1,9,1.0,216.0,200100.0,1,0,0,1
182,5,1957,2006,0.0,1340,1340,1,7,1.0,252.0,120000.0,1,0,0,1
183,7,2003,2003,1362.0,1362,2082,2,6,2.0,484.0,200000.0,1,0,0,0
184,5,1908,1991,504.0,936,1252,1,5,2.0,576.0,127000.0,1,0,0,1
185,10,1892,1993,1107.0,1518,3608,2,12,3.0,840.0,475000.0,0,0,1,0
186,7,1990,1991,1188.0,1217,1217,2,6,2.0,497.0,173000.0,1,0,0,0
187,5,1916,1987,660.0,808,1656,2,8,1.0,180.0,135000.0,1,0,0,1
188,5,1979,1979,1086.0,1224,1224,0,6,2.0,528.0,153337.0,1,0,0,1
189,8,2001,2002,1593.0,1593,1593,1,5,2.0,682.0,286000.0,0,1,1,0
190,8,1932,1994,853.0,1549,2727,2,10,2.0,440.0,315000.0,0,0,0,0
191,7,1972,2004,725.0,725,1479,1,7,2.0,484.0,184000.0,1,0,0,0
192,7,1999,1999,1431.0,1431,1431,2,6,2.0,666.0,192000.0,0,0,0,0
193,7,2004,2004,970.0,970,1709,2,7,2.0,380.0,130000.0,0,0,0,0
194,5,1972,1972,864.0,864,864,1,5,1.0,352.0,127000.0,1,0,0,1
195,6,1976,1976,855.0,855,1456,2,7,2.0,440.0,148500.0,1,0,0,1
196,7,2007,2007,1726.0,1726,1726,2,8,3.0,786.0,311872.0,0,1,1,0
197,8,1918,1990,1360.0,1360,3112,2,8,2.0,795.0,235000.0,0,0,0,0
198,6,1912,1950,755.0,929,2229,1,8,0.0,0.0,104000.0,1,0,0,1
199,8,2004,2005,1713.0,1713,1713,2,7,3.0,856.0,274900.0,0,1,1,0
200,4,2003,2004,1121.0,1121,1121,2,5,2.0,440.0,140000.0,1,0,0,1
201,6,1977,1977,1196.0,1279,1279,2,6,2.0,473.0,171500.0,1,0,0,1
202,6,1924,1950,617.0,865,1310,2,6,1.0,398.0,112000.0,1,0,0,1
203,6,2004,2004,848.0,848,848,1,3,2.0,420.0,149000.0,0,0,0,0
204,5,1947,1950,720.0,720,1284,1,5,1.0,240.0,110000.0,1,0,0,1
205,7,1990,1990,1424.0,1442,1442,2,5,2.0,500.0,180500.0,1,0,0,1
206,5,1962,1962,1140.0,1696,1696,1,8,1.0,349.0,143900.0,1,0,0,1
207,4,1960,1960,1100.0,1100,1100,1,6,1.0,312.0,141000.0,1,0,0,1
208,7,1988,1989,1157.0,1180,2062,2,7,2.0,454.0,277000.0,0,0,0,1
209,6,1964,1964,1092.0,1092,1092,1,6,2.0,504.0,145000.0,1,0,0,1
210,5,1925,1950,864.0,864,864,1,5,0.0,0.0,98000.0,1,0,0,1
211,6,2009,2009,1212.0,1212,1212,2,6,2.0,460.0,186000.0,1,0,0,0
212,7,2009,2009,900.0,932,1852,2,7,2.0,644.0,252678.0,1,0,0,0
213,5,1995,1995,990.0,990,990,1,5,2.0,576.0,156000.0,1,0,0,1
214,6,1977,1977,689.0,689,1392,1,6,1.0,299.0,161750.0,1,0,0,1
215,5,1957,1996,1070.0,1236,1236,1,6,1.0,447.0,134450.0,1,0,0,0
216,7,2004,2004,1436.0,1436,1436,2,8,2.0,484.0,210000.0,0,0,0,0
217,4,1925,1950,686.0,810,1328,1,8,1.0,210.0,107000.0,1,0,0,1
218,7,1939,2006,798.0,1137,1954,1,8,2.0,431.0,311500.0,0,0,0,0
219,7,2005,2006,1248.0,1248,1248,2,5,2.0,438.0,167240.0,0,0,0,0
220,7,2006,2006,1498.0,1498,1498,2,5,2.0,675.0,204900.0,0,0,0,0
221,6,2002,2002,1010.0,1010,2267,2,8,2.0,390.0,200000.0,0,0,0,0
222,6,1975,1975,713.0,811,1552,2,6,2.0,434.0,179900.0,1,0,0,1
223,4,1971,1971,864.0,864,864,1,4,2.0,576.0,97000.0,1,0,0,1
224,10,2003,2003,2392.0,2392,2392,2,8,3.0,968.0,386250.0,0,1,1,0
225,5,1971,1971,630.0,630,1302,2,6,1.0,280.0,112000.0,1,0,0,1
226,7,1995,1995,1203.0,1214,2520,2,9,3.0,721.0,290000.0,0,0,0,0
227,6,1970,1970,483.0,483,987,1,5,1.0,280.0,106000.0,1,0,0,1
228,5,1967,1967,912.0,912,912,1,5,1.0,336.0,125000.0,1,0,0,1
229,7,2005,2006,1373.0,1555,1555,2,7,2.0,430.0,192500.0,0,0,0,0
230,6,1959,1959,1194.0,1194,1194,1,6,1.0,312.0,148000.0,1,0,0,1
231,8,1995,1996,1462.0,1490,2794,2,9,3.0,810.0,403000.0,0,0,1,0
232,6,1972,1972,483.0,483,987,1,5,1.0,288.0,94500.0,1,0,0,1
233,5,1976,1976,894.0,894,894,1,5,1.0,308.0,128200.0,1,0,0,1
234,6,2002,2002,860.0,860,1960,2,8,2.0,440.0,216500.0,0,0,0,0
235,6,1971,1971,483.0,483,987,1,5,1.0,264.0,89500.0,1,0,0,1
236,7,2004,2004,1414.0,1414,1414,2,6,2.0,494.0,185500.0,0,0,0,0
237,7,1993,2003,996.0,1014,1744,2,7,2.0,457.0,194500.0,0,0,0,0
238,8,2007,2007,1694.0,1694,1694,2,7,3.0,818.0,318000.0,0,1,0,0
239,6,1945,1950,735.0,798,1487,1,7,1.0,220.0,113000.0,1,0,0,1
240,8,2008,2008,1566.0,1566,1566,2,7,2.0,750.0,262500.0,0,0,0,0
241,5,1945,1997,686.0,866,866,1,4,0.0,0.0,110500.0,1,0,0,0
242,5,1900,1950,540.0,889,1440,1,6,1.0,352.0,79000.0,1,0,0,1
243,6,1980,1980,626.0,626,1217,1,6,1.0,288.0,120000.0,1,0,0,1
244,7,1994,2002,948.0,1222,2110,2,8,2.0,463.0,205000.0,0,0,0,0
245,7,1988,1988,1845.0,1872,1872,2,6,2.0,604.0,241500.0,1,0,0,1
246,6,1910,1950,1020.0,908,1928,2,9,1.0,440.0,137000.0,1,0,0,0
247,6,1954,1954,1367.0,1375,1375,1,5,2.0,451.0,140000.0,1,0,0,1
248,7,2003,2003,840.0,840,1668,2,8,2.0,500.0,180000.0,0,0,0,0
249,6,1958,2006,1444.0,1444,2144,2,7,2.0,389.0,277000.0,0,0,0,0
250,3,1940,1966,728.0,1306,1306,1,6,0.0,0.0,76500.0,1,0,0,0
251,8,2006,2007,1573.0,1625,1625,2,5,2.0,538.0,235000.0,0,0,0,0
252,6,2004,2004,798.0,798,1640,2,6,2.0,520.0,173000.0,0,0,0,0
253,6,1964,1991,1302.0,1302,1302,2,7,1.0,309.0,158000.0,1,0,0,0
254,5,1957,1957,1314.0,1314,1314,1,5,1.0,294.0,145000.0,1,0,0,1
255,7,1999,1999,975.0,1005,2291,2,8,2.0,429.0,230000.0,0,0,0,0
256,6,2003,2003,864.0,864,1728,2,7,2.0,673.0,207500.0,0,0,0,0
257,7,2006,2006,1604.0,1604,1604,2,8,2.0,660.0,220000.0,0,0,0,0
258,7,2001,2001,963.0,963,1792,2,7,2.0,564.0,231500.0,0,0,0,0
259,5,1956,1956,0.0,882,882,1,4,1.0,308.0,97000.0,1,0,0,1
260,6,1962,1962,1362.0,1382,1382,1,6,2.0,884.0,176000.0,1,0,0,1
261,8,2007,2007,1482.0,1482,2574,2,10,3.0,868.0,276000.0,0,1,1,0
262,6,1977,1995,506.0,1212,1212,1,6,2.0,492.0,151000.0,1,0,0,1
263,5,1929,2001,926.0,926,1316,1,6,2.0,484.0,130000.0,1,0,0,1
264,5,1925,2004,680.0,764,764,1,4,2.0,504.0,73000.0,1,0,0,1
265,6,1981,1981,1422.0,1422,1422,2,7,2.0,576.0,175500.0,1,0,0,0
266,6,1997,1997,802.0,802,1511,2,8,2.0,413.0,185000.0,1,0,0,1
267,5,1939,1997,720.0,1052,2192,2,8,1.0,240.0,179500.0,1,0,0,0
268,5,1940,1955,740.0,778,778,1,4,1.0,924.0,120500.0,1,0,0,1
269,6,1976,1976,1143.0,1113,1113,1,6,1.0,504.0,148000.0,1,0,0,1
270,8,2006,2006,1095.0,1095,1939,2,8,3.0,1053.0,266000.0,0,0,0,0
271,7,1954,2005,1385.0,1363,1363,1,5,2.0,439.0,241500.0,1,0,0,1
272,8,1999,2007,1152.0,1164,2270,2,9,3.0,671.0,290000.0,0,0,0,0
273,6,1958,1988,1240.0,1632,1632,2,6,1.0,338.0,139000.0,1,0,0,1
274,5,1982,1982,816.0,816,816,1,5,1.0,264.0,124500.0,1,0,0,1
275,7,1925,2007,952.0,952,1548,2,5,2.0,672.0,205000.0,0,0,1,0
276,7,2003,2003,1560.0,1560,1560,2,7,2.0,573.0,201000.0,0,1,0,0
277,4,1951,1951,864.0,864,864,1,4,2.0,400.0,141000.0,1,0,0,1
278,9,2006,2007,2121.0,2121,2121,2,8,3.0,732.0,415298.0,0,1,1,0
279,7,1977,1977,1160.0,1156,2022,2,8,2.0,505.0,192000.0,1,0,0,1
280,7,1989,1989,807.0,1175,1982,2,7,2.0,575.0,228500.0,0,0,0,0
281,6,2006,2006,1262.0,1262,1262,2,5,2.0,572.0,185000.0,0,0,0,0
282,7,2007,2008,1314.0,1314,1314,2,6,2.0,626.0,207500.0,0,0,0,0
283,8,2008,2009,1468.0,1468,1468,2,6,3.0,898.0,244600.0,0,0,0,0
284,6,1992,1992,1575.0,1575,1575,2,5,2.0,529.0,179200.0,0,0,0,0
285,7,2006,2007,625.0,625,1250,2,5,2.0,528.0,164700.0,0,0,0,0
286,6,1962,1981,912.0,1085,1734,1,7,2.0,440.0,159000.0,1,0,0,0
287,4,1971,1971,858.0,858,858,1,5,0.0,0.0,88000.0,1,0,0,1
288,5,1967,1967,882.0,900,900,1,5,1.0,280.0,122000.0,1,0,0,1
289,6,1915,2003,698.0,698,1396,1,7,1.0,384.0,153575.0,1,0,0,1
290,8,2006,2006,1079.0,1079,1919,2,8,2.0,685.0,233230.0,0,0,0,0
291,5,1912,2000,780.0,936,1716,2,9,0.0,0.0,135900.0,1,0,0,0
